车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
YARiS L 致炫 2016款 改款 1.5E CVT魅动版,"4.40, , ",5.1,2018年10月,1,自动,1.5,前驱,国V,1.5,小型车,92,蓝色
长安UNI-T 2022款 1.5T 运动版 尊贵型,"8.86, , ",1.8,2022年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
朗逸 2022款 280TSI DSG舒适版,"9.10, , ",0.7,2022年1月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,黑色
宝马4系 2016款 420i Gran Coupe 进取型,"15.00, , ",7.8,2017年1月,0,自动,2,后驱,国V,2,中型车,95,白色
奔驰CLA 2022款 CLA 200,"25.80, , ",1.3,2022年10月,1,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
一汽-大众CC 2021款 380TSI 夺目版,"16.28, , ",1.9,2020年12月,0,自动,2,前驱,国VI,2,中型车,95,白色
宝马X5 2022款 xDrive 30Li 尊享型M运动套装,"58.80, , ",1,2022年6月,1,自动,2,四驱,国VI,2,中大型SUV,95,黑色
星越L 2021款 2.0TD 高功自动四驱旗舰型,"11.88, , ",2,2021年8月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,白色
朗逸 2019款 280TSI DSG舒适版 国VI,"8.58, , ",3.3,2020年12月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
威霆 2021款 2.0T 商务版 7座,"29.80, , ",1.9,2021年8月,0,自动,2,后驱,国VI,2,,95,黑色
奔驰GLC 2022款 改款 GLC 260 L 4MATIC 动感型,"33.00, , ",4,2022年4月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
宝马X1 2018款 sDrive20Li 领先型,"13.80, , ",7,2018年11月,0,自动,2,前驱,国V,2,紧凑型SUV,95,白色
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 豪华型,"29.50, , ",5.7,2020年4月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
奥迪A6(进口) 2021款 Avant 先锋派 45 TFSI 臻选动感型,"36.38, , ",3,2022年5月,0,自动,2,前驱,国VI,2,中大型车,95,银/灰色
宝马4系 2021款 改款 430i 敞篷M运动曜夜版,"45.80, , ",3.1,2021年11月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
远景X6 2021款 PRO 1.4T 自动尊贵型,"6.48, , ",1.6,2022年1月,0,自动,1.4,前驱,国VI,1.4,紧凑型SUV,92,蓝色
哈弗H6 2022款 第三代 1.5T 自动两驱Max,"7.80, , ",2,2021年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
宝马3系 2021款 改款 320i 运动套装,"22.80, , ",5,2021年4月,0,自动,2,后驱,国VI,2,中型车,95,白色
帕萨特 2022款 330TSI 尊贵版,"18.30, , ",2.6,2022年1月,0,自动,2,前驱,国VI,2,中型车,95,黑色
宝马5系 2022款 530Li 领先型 M运动套装,"32.60, , ",2.6,2022年2月,0,自动,2,后驱,国VI,2,中大型车,95,白色
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT旗舰型,"6.38, , ",3,2021年12月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
奥迪A4L 2017款 40 TFSI 时尚型,"13.71, , ",12,2017年3月,0,自动,2,前驱,国V,2,中型车,95,白色
宋PLUS 2020款 1.5T 自动旗舰型,"7.80, , ",3.4,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
瑞虎8 PRO 2022款 290T 两驱天穹版 7座,"7.88, , ",1.6,2021年7月,0,自动,1.6,前驱,国VI,1.6,中型SUV,92,白色
凯迪拉克XTS 2018款 28T 技术型,"13.98, , ",7.2,2018年6月,0,自动,2,前驱,国V,2,中大型车,95,白色
长安UNI-V 2022款 1.5T 尊贵型,"7.49, , ",1,2022年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
致胜 2013款 2.3L 时尚型,"2.60, , ",14,2012年7月,0,自动,2.3,前驱,国IV,2.3,中型车,92,香槟/棕色
本田CR-V 2017款 240TURBO CVT四驱豪华版,"12.98, , ",10,2017年11月,0,自动,1.5,四驱,国V,1.5,紧凑型SUV,92,白色
Ghibli 2014款 3.0T 标准版,"29.80, , ",6,2016年9月,1,自动,3,后驱,欧V,3,中大型车,95,蓝色
宝马5系 2021款 530Li 尊享型 M运动套装,"36.80, , ",6.7,2021年2月,0,自动,2,后驱,国VI,2,中大型车,95,白色
长安UNI-T 2020款 1.5T 尊贵型,"6.88, , ",3.1,2020年9月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奔驰GLA 2018款 GLA 200 动感型,"11.38, , ",10,2017年3月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,95,白色
星途追风 2021款 1.6T DCT致炫版,"8.58, , ",3,2022年11月,0,自动,1.6,前驱,国VI,1.6,紧凑型SUV,92,白色
奥迪A4L 2020款 40 TFSI 时尚动感型,"19.80, , ",2.6,2020年8月,1,自动,2,前驱,国VI,2,中型车,95,其它
Panamera 2019款 Panamera 2.9T,"86.80, , ",2.9,2021年1月,1,自动,2.9,后驱,国VI,2.9,大型车,95,黄/橙色
酷威 2014款 2.4L 两驱旅行版,"4.30, , ",11.57,2016年1月,1,自动,2.4,前驱,欧IV,2.4,中型SUV,92,白色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"15.80, , ",8.5,2018年2月,0,自动,2,前驱,国V,2,中型车,95,白色
领克02 2021款 1.5TD DCT两驱耀 冠军版,"8.60, , ",6.2,2021年4月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,95,红/紫色
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,"15.30, , ",11,2018年6月,0,自动,2,前驱,国V,2,中型车,95,白色
奔驰C级 2021款 C 200 L 动感型运动版,"22.98, , ",4,2021年1月,0,自动,1.5,后驱,国VI,1.5,中型车,95,黑色
奥迪A4L 2020款 40 TFSI 时尚动感型,"19.80, , ",4.7,2021年7月,0,自动,2,前驱,国VI,2,中型车,95,红/紫色
奔驰G级AMG 2020款 AMG G 63,"228.80, , ",2.5,2021年7月,1,自动,4,四驱,国VI,4,中大型SUV,95,黑色
途乐 2018款 4.0L 领英型,"29.80, , ",7,2019年6月,0,自动,4,四驱,国V,4,大型SUV,95,白色
奥迪A4L 2022款 40 TFSI 时尚动感型,"20.68, , ",7,2021年3月,0,自动,2,前驱,国VI,2,中型车,95,白色
蒙迪欧 2020款 EcoBoost 180 时尚型,"10.60, , ",4,2021年7月,1,自动,1.5,前驱,国VI,1.5,中型车,92,白色
传祺GS8 2022款 领航系列 2.0TGDI 两驱豪华智联版（七座）,"12.55, , ",3,2021年9月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
辉昂 2016款 380TSI 两驱至尊版,"12.98, , ",12,2017年1月,0,自动,2,前驱,国V,2,中大型车,95,香槟/棕色
牧马人 2019款 2.0T Sahara 四门版 国V,"30.68, , ",7.6,2019年8月,0,自动,2,四驱,国V,2,中型SUV,95,蓝色
速腾 2017款 230TSI 自动豪华型,"6.68, , ",11.06,2017年6月,1,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
", 宝马X5 2022款 xDrive 40Li M运动套装","65.89, , ",1.3,2023年1月,,", ",", ",,", ",,,,
迈腾 2023款 200万辆纪念版 280TSI DSG舒适型,"12.74, , ",1.6,2022年12月,0,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
普拉多 2018款 3.5L 自动TX-L后挂备胎,"43.98, , ",7.8,2018年6月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
坦克300 2021款 越野版 2.0T 挑战者,"18.58, , ",4.4,2023年1月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,银/灰色
普拉多 2018款 3.5L 自动SX,"48.80, , ",6.5,2020年4月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
发现运动版 2020款 200PS 家庭版,"18.58, , ",7.8,2020年8月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
普拉多 2018款 3.5L 自动TX-L后挂备胎,"43.98, , ",12,2018年2月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
宝马X3 2018款 xDrive28i M运动套装 国VI,"24.28, , ",7.3,2019年7月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
奔驰CLA 2020款 CLA 200,"17.68, , ",3.6,2020年6月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
宝马X5(进口) 2020款 xDrive30i X设计套装,"47.58, , ",7.7,2020年5月,0,自动,2,四驱,国VI,2,中大型SUV,95,白色
星越L 2021款 2.0TD 高功自动四驱尊贵型,"11.95, , ",2,2022年1月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,白色
EVOS 2022款 EcoBoost 245 风尚版,"15.28, , ",2,2021年12月,0,自动,2,前驱,国VI,2,中型SUV,92,白色
普拉多 2018款 3.5L 自动TX-L后挂备胎,"47.80, , ",10,2019年6月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
途锐 2022款 3.0TSI 锐享版 曜黑运动套装,"50.80, , ",4.2,2022年6月,1,自动,3,四驱,国VI,3,中大型SUV,95,黑色
凯美瑞 2019款 改款 2.0G 豪华版,"14.68, , ",3.2,2020年7月,0,自动,2,前驱,国VI,2,中型车,92,银/灰色
凯迪拉克CT6 2022款 28T 豪华型,"27.68, , ",1.83,2022年1月,1,自动,2,后驱,国VI,2,中大型车,95,白色
英菲尼迪Q60 2019款 S 2.0T 豪华运动版,"21.88, , ",3.5,2020年5月,0,自动,2,后驱,国VI,2,跑车,95,蓝色
帕萨特 2023款 330TSI 星空豪华版,"15.14, , ",1.8,2022年2月,0,自动,2,前驱,国VI,2,中型车,95,黑色
奥迪A3 2019款 Limousine 35 TFSI 进取型 国V,"9.60, , ",9.1,2019年1月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
星越L 2021款 2.0TD DCT EVO两驱旗舰型,"10.90, , ",1,2021年11月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,银/灰色
普拉多 2018款 3.5L 自动TX-L后挂备胎,"45.80, , ",8,2018年7月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
凯迪拉克XT5 2022款 2.0T 四驱豪华型,"24.00, , ",3.4,2022年2月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
普拉多 2018款 3.5L 自动TX,"42.88, , ",5,2020年7月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
宝马2系 2021款 225i 四门轿跑车 M运动曜夜套装,"18.58, , ",2.5,2021年2月,0,自动,2,前驱,国VI,2,紧凑型车,95,蓝色
迈腾 2020款 330TSI DSG 豪华型,"13.91, , ",3,2020年11月,0,自动,2,前驱,国VI,2,中型车,95,黑色
沃尔沃XC60 2018款 T5 四驱智远版,"17.80, , ",6.8,2018年4月,0,自动,2,四驱,国V,2,中型SUV,95,香槟/棕色
探岳 2023款 280TSI 两驱豪华Plus进阶版,"16.38, , ",0.01,2024年1月,0,自动,1.4,前驱,国VI,1.4,中型SUV,95,蓝色
一汽-大众CC 2018款 1.8TSI 豪华型,"11.58, , ",7.9,2018年3月,0,自动,1.8,前驱,国V+OBD,1.8,中型车,95,白色
吉利ICON 2020款 1.5TD i9 BSG,"6.75, , ",3,2020年12月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,银/灰色
途昂 2021款 380TSI 四驱尊崇旗舰版,"27.88, , ",0.3,2021年8月,0,自动,2,四驱,国VI,2,中大型SUV,95,香槟/棕色
一汽-大众CC 2015款 1.8TSI 尊贵型,"6.68, , ",9.81,2014年12月,1,自动,1.8,前驱,国V+OBD,1.8,中型车,95,白色
奥迪A4L 2022款 40 TFSI 时尚动感型,"22.78, , ",2.3,2022年11月,0,自动,2,前驱,国VI,2,中型车,95,白色
宝马3系 2017款 320Li 时尚型,"14.50, , ",10.7,2017年4月,0,自动,2,后驱,国V,2,中型车,95,白色
凌渡 2021款 280TSI DSG舒适版,"10.68, , ",5,2022年2月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,黑色
宝马3系 2022款 325i M运动套装,"26.98, , ",2.1,2022年1月,0,自动,2,后驱,国VI,2,中型车,95,白色
宝马1系 2020款 125i 领先型M运动套装,"13.58, , ",8.3,2020年9月,0,自动,2,前驱,国VI,2,紧凑型车,95,蓝色
汉兰达 2021款 2.0T 四驱精英版 7座,"16.77, , ",11.9,2021年4月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
奔驰E级 2023款 E 300 L 豪华型,"45.68, , ",0.8,2023年2月,1,自动,2,后驱,国VI,2,中大型车,95,黑色
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,"15.58, , ",7.6,2020年7月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,银/灰色
领克05 2023款 2.0TD 两驱耀Halo,"16.50, , ",0.05,2023年5月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,银/灰色
帕杰罗(进口) 2016款 3.0L 自动尊贵版 国IV,"18.68, , ",9,2017年8月,0,自动,3,四驱,国IV,3,中大型SUV,92,白色
迈腾 2018款 330TSI DSG 领先型,"10.90, , ",7.5,2018年7月,0,自动,1.8,前驱,国V,1.8,中型车,95,黑色
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,"28.50, , ",3,2021年1月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
奔驰E级 2023款 E 300 L 豪华型,"46.58, , ",5.5,2023年6月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
别克GL8 2021款 ES陆尊 653T 舒适型,"25.00, , ",5.3,2021年6月,0,自动,2,前驱,国VI,2,,95,白色
奥迪A5 2017款 Sportback 40 TFSI 时尚型,"16.88, , ",9,2017年11月,0,自动,2,前驱,国V,2,中型车,95,白色
别克GL8 2023款 ES陆尊 豪华型,"28.80, , ",5.5,2022年6月,0,自动,2,前驱,国VI,2,,95,白色
奔驰GLC 2020款 GLC 260 L 4MATIC 豪华型,"26.58, , ",3,2019年12月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
宝马1系 2021款 120i M运动曜夜版,"10.90, , ",2.8,2021年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
红旗HS5 2019款 2.0T 智联旗享版,"9.21, , ",3,2020年9月,0,自动,2,前驱,国VI,2,中型SUV,95,香槟/棕色
宝马3系 2020款 325Li M运动套装,"19.50, , ",3.8,2019年10月,0,自动,2,后驱,国VI,2,中型车,95,白色
", 奔驰GLC轿跑 AMG 2017款 AMG GLC 43 4MATIC 轿跑SUV","29.80, , ",8.5,2018年4月,,", ",", ",,", ",,,,
索纳塔 2020款 380TGDi 自动TOP旗舰版,"13.88, , ",0.04,2023年1月,0,自动,2,前驱,国VI,2,中型车,92,红/紫色
宝马3系GT 2019款 320i M运动型,"21.80, , ",6.5,2020年3月,0,自动,2,后驱,国V,2,中型车,95,蓝色
宝马X5(进口) 2021款 xDrive40i 尊享型 M运动套装,"59.80, , ",6.7,2021年2月,0,自动,3,四驱,国VI,3,中大型SUV,95,黑色
帕萨特 2022款 330TSI 豪华版,"16.08, , ",1.2,2022年6月,0,自动,2,前驱,国VI,2,中型车,95,黑色
帕萨特 2021款 330TSI 豪华版,"14.88, , ",1.83,2021年10月,0,自动,2,前驱,国VI,2,中型车,95,黑色
探险者 2020款 EcoBoost 285 四驱铂金版 7座,"23.88, , ",2.7,2020年11月,0,自动,2.3,四驱,国VI,2.3,中大型SUV,92,蓝色
奥迪A3 2023款 A3L Limousine 35 TFSI 时尚运动型,"15.42, , ",0.1,2023年9月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,银/灰色
蒙迪欧 2020款 EcoBoost 200 时尚型,"10.60, , ",3.5,2020年12月,0,自动,2,前驱,国VI,2,中型车,92,白色
速腾 2023款 280TSI DSG超越Plus版,"11.18, , ",1.5,2022年9月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,蓝色
天籁 2021款 2.0L XL 舒适版,"11.38, , ",4.8,2021年11月,0,自动,2,前驱,国VI,2,中型车,92,黑色
缤越 2023款 缤越COOL 1.5TD DCT冠军版,"8.60, , ",0.27,2023年5月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,白色
奔驰C级 2023款 C 260 L 运动版,"25.60, , ",1.02,2023年1月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
奔驰E级 2021款 E 300 L 豪华型,"42.38, , ",5.6,2022年2月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
Macan 2017款  Macan 2.0T,"26.78, , ",5,2018年5月,0,自动,2,四驱,欧V,2,中型SUV,95,蓝色
T-ROC探歌 2019款 280TSI DSG两驱进取型 国V,"8.98, , ",3,2020年5月,0,自动,1.4,前驱,国V,1.4,紧凑型SUV,95,白色
星越L 2021款 2.0TD 高功自动四驱尊贵型,"12.68, , ",2.2,2021年7月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,白色
宝马X5(进口) 2017款 xDrive35i 典雅型,"27.68, , ",16,2017年2月,0,自动,3,四驱,欧VI,3,中大型SUV,95,白色
宝马M5 2012款 M5,"25.80, , ",5.4,2012年10月,3,自动,4.4,后驱,欧IV,4.4,中大型车,95,白色
", 宝马X3 2019款 xDrive30i 领先型 M运动套装","23.98, , ",5,2019年4月,,", ",", ",,", ",,,,
奇骏 2020款  2.5L XL ITS CVT 4WD豪华领航版,"12.40, , ",3.16,2019年12月,0,自动,2.5,四驱,国VI,2.5,紧凑型SUV,92,其它
星越L 2021款 2.0TD DCT EVO两驱旗舰型,"10.85, , ",2,2021年7月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,白色
宝马X3 2018款 xDrive30i 领先型 M运动套装 国V,,7.3,2019年3月,0,自动,2,四驱,国V,2,中型SUV,95,蓝色
途锐 2019款 2.0TSI 锐翼版 国VI,"28.80, , ",6,2019年3月,0,自动,2,四驱,国VI,2,中大型SUV,95,蓝色
奥迪Q5L 2020款 改款 40 TFSI 荣享进取型,"25.80, , ",4,2021年4月,1,自动,2,四驱,国VI,2,中型SUV,95,白色
探影 2020款 280TSI DSG 悦Pro,"9.48, , ",4.6,2020年1月,2,自动,1.4,前驱,国VI,1.4,小型SUV,95,白色
普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,"49.80, , ",8.1,2020年5月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
MG5 2021款 180DVVT CVT青春风尚版,"4.50, , ",0.6,2022年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
普拉多 2018款 3.5L 自动VX NAVI后挂备胎,"48.90, , ",7.5,2018年4月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
远景X6 2020款 1.4T CVT豪华型,"4.72, , ",2.3,2020年8月,0,自动,1.4,前驱,国VI,1.4,紧凑型SUV,92,白色
星越L 2021款 2.0TD 高功自动四驱尊贵型,"12.00, , ",1.8,2021年9月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,银/灰色
远景X3 2021款 PRO 1.5L CVT尊贵型,"4.35, , ",2.2,2021年5月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,白色
", 奔驰GLC 2020款 GLC 300 L 4MATIC 动感型","32.68, , ",7.7,2020年9月,,", ",", ",,", ",,,,
奥迪A3 2018款 30周年年型 Sportback 35 TFSI 风尚型,"9.80, , ",6.5,2018年1月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
普拉多 2018款 3.5L 自动TX-L,"39.80, , ",7.5,2019年2月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
红旗HS7 2022款 3.0T 自动四驱智联旗领版 七座,"26.90, , ",1.5,2022年2月,0,自动,3,四驱,国VI,3,中大型SUV,95,白色
普拉多 2018款 3.5L 自动TX-L,"46.80, , ",6.8,2019年3月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
", 兰德酷路泽(进口) 2015款 4.0L V6 中东低配版","57.80, , ",10,2017年11月,,", ",", ",,", ",,,,
普拉多 2018款 3.5L 自动TX-L后挂备胎,"44.80, , ",8,2018年8月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
发现 2021款 360PS R-Dynamic S,"55.80, , ",3.8,2022年4月,0,自动,3,四驱,国VI,3,中大型SUV,95,银/灰色
自由光 2017款 2.0L 优越版,"6.99, , ",12,2017年10月,0,自动,2,前驱,国V,2,中型SUV,92,白色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"14.88, , ",3.6,2020年2月,0,自动,2,前驱,国VI,2,中型车,95,白色
昂科旗 2020款 28T 两驱尊贵型,"17.58, , ",6.6,2020年12月,0,自动,2,前驱,国VI,2,中大型SUV,95,蓝色
坦克300 2021款 越野版 2.0T 征服者,"18.68, , ",5,2022年3月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
普拉多 2018款 3.5L 自动TX,"39.80, , ",8.2,2018年5月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
星越L 2023款 2.0TD 高功自动两驱旗舰型,"12.30, , ",1,2023年3月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,蓝色
奥迪A4(进口) 2021款 Avant 先锋派 40 TFSI 豪华动感型,"27.30, , ",2,2022年3月,0,自动,2,前驱,国VI,2,中型车,95,银/灰色
宝马3系 2021款 改款 320Li M运动套装,"22.98, , ",2.5,2021年6月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
领动 2016款 1.6L 自动智炫・精英型,"5.98, , ",7.8,2018年6月,0,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,"48.80, , ",8,2019年2月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
宝马X5(进口) 2015款 xDrive28i,"20.60, , ",13,2016年6月,0,自动,2,四驱,欧VI,2,中大型SUV,95,白色
普拉多 2018款 3.5L 自动TX-L后挂备胎,"44.80, , ",8.2,2019年10月,0,自动,3.5,四驱,国V,3.5,中大型SUV,95,白色
帕萨特 2022款 330TSI 星空精英版,"16.78, , ",1.48,2022年11月,0,自动,2,前驱,国VI,2,中型车,95,黑色
发现运动版 2020款 249PS R-Dynamic 性能科技版 7座,"20.78, , ",2.8,2020年7月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
奔驰C级(进口) 2020款 C 260 轿跑车,"21.60, , ",4.8,2019年5月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
星瑞 2023款 2.0TD 尊贵型,"9.68, , ",0.38,2023年3月,0,自动,2,前驱,国VI,2,紧凑型车,95,白色
帕萨特 2022款 330TSI 豪华版,"15.98, , ",0.8,2021年11月,0,自动,2,前驱,国VI,2,中型车,95,黑色
迈腾 2020款 330TSI DSG 领先型,"16.38, , ",1.5,2022年12月,0,自动,2,前驱,国VI,2,中型车,95,黑色
Cayenne 2018款 Cayenne S 2.9T,"59.80, , ",9.4,2019年3月,1,自动,2.9,四驱,欧V,2.9,中大型SUV,95,白色
林肯MKX 2015款 2.7T 四驱尊耀版,"9.83, , ",8.5,2016年10月,8,自动,2.7,四驱,国V,2.7,中型SUV,92,白色
帕萨特 2021款 330TSI 豪华版,"15.88, , ",6,2021年4月,0,自动,2,前驱,国VI,2,中型车,95,黑色
福克斯 2017款 两厢 1.6L 自动风尚型智行版,"4.58, , ",6.8,2017年5月,2,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
奔驰GLA 2018款 GLA 200 时尚型,"11.58, , ",7,2017年8月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,95,白色
福克斯 2017款 三厢 1.6L 自动风尚型智行版,"4.98, , ",7.8,2017年6月,1,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
雷克萨斯IS 2017款 300 F SPORT版,"20.80, , ",6,2019年5月,0,自动,2,后驱,国V,2,中型车,95,蓝色
红旗HS5 2022款 2.0T 智联旗享版,"11.50, , ",1.6,2022年11月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
长安UNI-T 2020款 1.5T 尊贵型,"6.86, , ",2.8,2020年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
帕萨特 2022款 330TSI 星空精英版,"15.88, , ",2.4,2021年12月,0,自动,2,前驱,国VI,2,中型车,95,黑色
MINI 2019款 2.0T COOPER S 经典派,"16.70, , ",5.1,2019年12月,0,自动,2,前驱,国VI,2,小型车,95,白色
缤越 2020款 PRO 240T DCT猎手,"5.68, , ",0.95,2021年7月,0,自动,1.4,前驱,国VI,1.4,小型SUV,92,白色
大众CC 2012款 3.6FSI R-Line,"8.64, , ",14,2013年12月,0,自动,3.6,四驱,欧IV,3.6,中型车,95,白色
林肯Z 2022款 i享 尊耀版,"20.97, , ",1.1,2022年4月,1,自动,2,前驱,国VI,2,中型车,95,白色
影豹 2021款 270T DCT J15版,"6.46, , ",3,2021年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
昂科威 2021款 532T 两驱精英型,"12.80, , ",1.9,2021年5月,0,自动,1.5,前驱,国VI,1.5,中型SUV,92,蓝色
缤瑞 2022款 缤瑞COOL 1.5T DCT雷霆版,"6.88, , ",1,2022年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
桑塔纳 2021款 1.5L 自动风尚版,"5.68, , ",4,2021年5月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
路虎卫士 2021款 110 P400 X,"75.98, , ",6.5,2021年4月,0,自动,3,四驱,国VI,3,中大型SUV,95,银/灰色
凯迪拉克CT4 2022款 28T 风尚型,"13.40, , ",1.1,2022年8月,0,自动,2,后驱,国VI,2,中型车,95,白色
沃兰多 2020款 轻混 Redline 530T 自动纵享版（5+2款）,"7.16, , ",5,2022年7月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,92,银/灰色
奔驰E级 2019款 E 300 L 时尚型,"29.90, , ",4.7,2019年11月,0,自动,2,后驱,国VI,2,中大型车,95,白色
帕萨特 2021款 280TSI 商务版,"10.35, , ",3,2021年1月,0,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
凯迪拉克CT4 2021款 28T 豪华型,"13.20, , ",2.8,2021年4月,0,自动,2,后驱,国VI,2,中型车,95,白色
福克斯 2012款 三厢 1.6L 自动舒适型,"2.88, , ",13,2014年3月,0,自动,1.6,前驱,国IV,1.6,紧凑型车,92,白色
宝马X1 2022款 sDrive20Li 时尚型,"14.00, , ",2,2021年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,95,白色
